Obs,Customer,I tend to plan things very carefully.,I sometimes have trouble controlling my spending.,I think it is important to purchase products that are made locally.,I carefully consider the health benefits of what I eat.
2,0,1,2,3,2
3,0,1,3,3,2
4,0,2,4,3,2
5,0,2,4,1,2
10,0,2,4,2,3
12,0,2,4,2,1
13,0,2,2,3,3
17,0,1,2,1,1
18,0,3,3,2,3
20,0,1,4,3,2
21,0,2,4,2,2
22,0,2,4,2,3
24,0,1,4,2,1
25,0,2,3,2,2
26,0,1,3,2,1
28,0,2,4,2,1
29,0,2,2,1,2
30,0,2,4,2,2
31,0,1,3,3,2
32,0,2,2,1,2
34,0,1,4,2,2
38,0,3,4,2,2
40,0,3,3,2,1
41,0,1,4,2,1
42,0,1,3,2,1
43,0,2,4,2,4
45,0,2,3,2,2
46,0,2,2,1,2
48,0,4,3,2,2
49,0,1,2,1,2
50,0,2,3,2,2
51,0,2,4,1,2
52,0,1,4,2,2
53,0,2,3,2,3
58,0,1,2,2,2
59,0,3,3,1,3
60,0,1,4,2,2
61,0,2,4,2,4
62,0,2,4,2,1
63,0,2,4,2,2
64,0,2,3,2,2
65,0,2,4,1,2
67,0,2,2,3,4
68,0,2,2,2,2
70,0,1,3,2,3
72,0,2,2,3,3
73,0,3,2,2,2
75,0,1,3,2,2
77,0,2,2,2,2
78,0,3,3,2,3
79,0,2,3,3,3
80,0,2,4,2,2
82,0,2,2,2,1
87,0,3,2,2,2
88,0,2,3,4,2
89,0,2,1,2,2
90,0,3,2,2,2
91,0,2,3,1,1
92,0,2,2,3,2
93,0,2,4,2,2
94,0,1,2,3,1
95,0,1,2,2,1
99,0,2,2,2,2
101,0,2,2,3,3
102,0,2,3,2,2
103,0,3,1,2,2
104,0,4,3,1,1
105,0,3,1,1,2
106,0,2,1,4,3
107,0,1,2,2,1
108,0,2,3,2,1
109,0,2,3,4,2
110,0,3,4,3,2
111,0,2,3,2,1
112,0,1,4,3,2
113,0,1,2,3,1
114,0,2,2,1,2
115,0,1,4,2,1
116,0,3,3,2,3
118,0,1,1,2,2
119,0,1,4,2,2
122,0,1,2,2,4
123,0,1,3,2,2
124,0,1,2,1,2
125,0,2,2,2,2
126,0,2,2,2,2
127,0,1,1,1,2
128,0,2,3,2,2
129,0,2,3,2,1
130,0,2,3,2,3
131,0,2,3,2,2
132,0,1,3,2,1
134,0,1,2,2,1
135,0,1,2,2,1
137,0,1,2,2,3
138,0,2,2,2,2
139,0,1,2,2,3
140,0,1,4,1,1
141,0,2,3,2,2
142,0,3,2,2,2
143,0,1,2,2,1
144,0,2,2,2,2
145,0,1,3,2,3
147,0,3,1,3,2
148,0,2,1,2,2
149,0,1,4,3,1
150,0,2,1,3,3
152,0,1,4,2,2
153,0,2,3,2,2
154,0,2,2,1,2
156,0,1,1,1,1
157,0,3,2,3,3
158,0,2,3,2,2
160,0,2,2,2,1
161,0,2,3,2,1
162,0,2,2,3,2
163,0,1,4,2,2
165,0,2,3,2,3
167,0,3,2,3,3
168,0,1,4,2,1
169,0,2,3,2,3
170,0,2,3,3,2
172,0,2,3,2,2
173,0,1,1,2,2
174,0,1,4,4,2
175,0,2,3,2,1
176,0,1,2,2,2
177,0,2,2,2,2
178,0,2,2,2,2
179,0,1,3,2,2
180,0,1,1,2,2
182,0,1,3,2,1
183,0,3,3,2,2
184,0,2,4,2,2
185,0,1,4,1,1
186,0,2,4,2,2
187,0,2,3,2,3
189,0,1,4,,3
190,0,1,3,2,2
191,0,2,4,2,1
192,0,2,2,1,1
193,0,2,2,3,3
195,0,2,3,2,2
198,0,2,3,2,2
199,0,2,4,2,2
200,0,1,4,2,2
201,0,1,1,1,2
202,0,2,3,2,2
204,0,2,3,2,2
205,0,2,4,3,2
206,0,1,3,1,2
208,0,2,2,2,2
210,0,2,3,1,2
212,0,2,4,2,2
213,0,2,2,3,2
215,0,2,2,2,3
216,0,2,4,2,2
217,0,3,3,2,2
218,0,1,4,1,3
220,0,2,2,2,2
222,0,2,3,2,2
224,0,2,2,2,2
225,0,2,4,1,2
226,0,2,4,2,1
227,0,2,3,2,3
228,0,2,3,2,1
235,0,3,2,3,4
236,0,3,4,1,4
238,0,1,1,1,1
239,0,1,1,3,2
240,0,1,1,1,1
241,0,3,4,3,3
242,0,2,4,2,1
243,0,2,2,2,2
244,0,1,1,2,2
245,0,1,4,2,2
248,0,2,4,2,2
249,0,1,4,2,2
250,0,2,3,2,4
251,0,1,2,2,2
252,0,3,2,2,2
253,0,3,3,2,1
254,0,2,3,2,2
255,0,3,3,3,3
257,0,2,4,2,2
258,0,2,3,3,3
260,0,2,4,2,2
261,0,1,2,1,1
264,0,2,3,3,2
265,0,1,4,1,1
266,0,1,2,1,1
267,0,2,3,2,2
268,1,2,2,2,2
269,1,3,3,2,1
270,1,2,3,1,1
271,1,1,3,2,1
272,1,3,3,2,3
273,1,1,4,1,1
274,1,2,3,1,1
275,1,2,3,2,1
278,1,2,2,2,1
279,1,2,3,2,2
280,1,3,4,2,2
281,1,1,3,1,1
283,1,2,2,1,2
284,1,2,4,2,2
285,1,1,3,2,1
286,1,1,3,2,1
287,1,2,1,1,1
288,1,3,2,2,2
289,1,1,4,2,1
290,1,3,3,2,1
291,1,1,4,1,1
292,1,1,4,3,3
293,1,1,2,1,2
294,1,1,2,2,1
295,1,2,2,2,1
296,1,3,2,1,2
298,1,2,2,3,1
299,1,1,4,2,2
300,1,1,3,2,1
301,1,1,3,1,1
302,1,1,2,2,2
303,1,3,2,2,2
304,1,3,2,,3
305,1,2,4,2,1
306,1,2,3,3,1
307,1,2,2,2,2
308,1,3,3,1,1
309,1,2,3,2,1
310,1,2,3,2,2
311,1,2,3,2,2
312,1,2,2,2,2
313,1,2,1,1,1
314,1,3,4,2,3
315,1,1,3,1,2
316,1,2,1,2,2
317,1,1,4,2,1
318,1,2,3,2,1
319,1,2,4,2,4
320,1,1,3,2,1
321,1,1,1,2,2
322,1,2,4,2,2
323,1,1,4,2,2
324,1,3,4,2,2
325,1,1,2,2,2
326,1,1,4,2,2
327,1,1,4,2,1
328,1,1,2,2,2
329,1,2,4,2,2
330,1,2,3,2,2
331,1,1,4,2,2
332,1,2,2,3,2
333,1,1,3,2,2
334,1,2,3,2,1
335,1,2,4,1,1
336,1,1,4,1,2
337,1,3,4,2,2
338,1,2,2,1,2
339,1,3,4,2,2
340,1,1,4,2,1
341,1,1,4,1,1
342,1,1,3,2,1
343,1,1,4,2,2
344,1,1,4,2,2
345,1,2,4,2,2
346,1,2,3,2,3
347,1,1,4,4,1
348,1,2,4,2,1
349,1,2,4,2,2
350,1,1,1,1,1
351,1,2,2,2,1
352,1,1,2,1,2
353,1,2,2,2,2
354,1,1,4,2,1
355,1,1,4,2,1
356,1,3,4,2,1
357,1,2,3,3,2
359,1,1,4,1,1
360,1,2,2,1,1
361,1,2,4,1,1
362,1,3,2,1,2
363,1,2,2,2,2
364,1,1,2,1,1
365,1,1,1,1,1
366,1,2,3,2,3
367,1,2,2,2,2
368,1,2,4,2,1
369,1,2,3,3,3
370,1,3,2,2,2
371,1,2,3,2,2
372,1,1,4,2,2
373,1,1,4,1,1
374,1,2,2,2,2
375,1,2,3,2,2
376,1,1,4,1,1
377,1,1,2,1,1
378,1,2,2,1,1
379,1,2,3,2,2
381,1,1,4,1,1
382,1,3,2,4,3
383,1,1,3,2,1
384,1,2,3,2,2
385,1,2,3,2,2
386,1,3,2,2,1
387,1,1,4,2,1
388,1,2,3,2,2
389,1,3,2,2,2
390,1,2,2,2,1
391,1,1,4,2,1
392,1,2,4,1,2
393,1,1,4,2,1
394,1,2,4,2,1
395,1,1,2,2,2
396,1,3,2,1,2
397,1,2,3,2,3
398,1,2,3,1,1
399,1,2,3,1,2
400,1,1,3,1,2
401,1,1,3,2,2
402,1,2,2,2,1
403,1,1,3,1,1
404,1,2,3,1,2
406,1,1,4,1,1
407,1,4,4,2,2
408,1,2,2,2,2
410,1,3,3,2,2
411,1,1,2,2,2
412,1,2,2,1,2
413,1,3,4,1,2
414,1,1,4,2,1
415,1,3,2,2,1
416,1,2,2,1,2
417,1,2,2,2,3
418,1,1,2,1,1
419,1,2,4,2,1
420,1,2,2,2,2
421,1,2,3,3,3
422,1,1,3,1,1
423,1,1,4,2,2
424,1,2,2,1,2
425,1,2,2,1,1
426,1,3,2,2,2
427,1,2,2,2,2
428,1,2,2,1,1
429,1,3,4,2,2
430,1,2,2,3,2
431,1,2,4,2,2
432,1,1,2,1,1
433,1,2,4,2,2
434,1,3,2,2,3
435,1,2,1,2,1
436,1,1,4,2,2
437,1,3,2,1,1
438,1,1,2,1,2
439,1,2,2,2,2
440,1,3,2,1,2
441,1,3,4,3,3
442,1,3,4,1,1
443,1,3,4,1,1
444,1,3,4,1,1
446,1,1,2,2,2
447,1,2,3,2,2
448,1,3,2,1,1
449,1,1,2,2,2
450,1,2,4,2,2
452,1,2,4,2,1
453,1,2,4,1,1
454,1,2,4,2,2
455,1,1,3,2,2
456,1,1,4,2,1
457,1,3,4,2,2
458,1,3,2,1,2
459,1,1,3,2,2
460,1,1,2,1,1
461,1,1,1,1,1
462,1,2,3,1,1
463,1,3,3,1,1
466,1,1,4,2,1
467,1,2,2,2,3
468,1,1,1,1,1
469,1,2,1,2,3
470,1,2,4,2,2
471,1,2,2,2,2
472,1,2,4,2,2
473,1,2,2,2,2
474,1,1,2,2,1
475,1,2,2,2,2
476,1,2,4,2,1
477,1,3,4,2,1
478,1,3,3,2,2
479,1,2,2,2,2
480,1,1,4,1,2
481,1,1,4,1,1
482,1,1,3,2,2